Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Tapio Nykänen;Vasemmistoliitto;Lieksa;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;3;3;0;3;0;0;2;1;2;0;2;0;3;1;0;2;0;3;3;3;3;0;0;3;3
Tapio Osala;Vihreä liitto;Vaasa;alempi korkeakoulututkinto;1953;suomi;suomi, ruotsi, englanti;male;3;3;0;3;2;1;3;0;3;0;3;1;3;3;0;0;2;3;2;1;3;3;0;3;3
Tapio Pajunpää;Suomen Keskusta;Kokkola;alempi korkeakoulututkinto;1964;suomi;suomi;male;3;1;1;3;1;1;2;2;2;1;2;0;3;2;2;1;1;2;0;3;3;0;0;3;2
Tapio Peltokangas;Suomen Keskusta;Perho;peruskoulu;1954;suomi;suomi;male;3;2;2;3;0;0;1;2;1;0;1;1;3;3;2;2;0;2;0;3;0;0;0;2;0
Tapio Pesola;Vihreä liitto;Espoo;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;3;2;2;1;2;2;3;3;3;0;3;1;3;2;2;1;2;1;3;2;3;2;1;2;2
Tapio Puolimatka;Suomen Kristillisdemokraatit (KD);Jyväskylä;ylempi korkeakoulututkinto;1953;suomi;suomi, ruotsi, englanti;male;2;1;3;1;1;2;1;3;0;3;0;1;1;3;2;2;2;2;1;2;1;1;1;1;1
Tapio Siirilä;Suomen Kommunistinen Puolue;Kemi;alempi korkeakoulututkinto;1945;suomi;suomi, ruotsi, englanti;male;3;3;0;0;0;2;1;3;3;0;3;3;3;3;0;0;0;3;3;3;2;0;0;3;3
Tapio Taskinen;Suomen Sosialidemokraattinen Puolue;Rovaniemi;ammattitutkinto;1974;suomi;suomi, englanti;male;3;1;2;1;1;2;1;0;3;2;2;1;1;1;2;2;1;0;2;3;3;1;1;3;2
Tapio Tienari;Suomen Sosialidemokraattinen Puolue;Ikaalinen;ammattitutkinto;1961;suomi;englanti;male;3;3;0;0;0;0;2;2;3;0;0;0;3;3;0;0;1;2;3;3;0;1;0;0;3
Tapio Uusitalo;Perussuomalaiset;Kankaanpää;ammattitutkinto;1963;suomi;suomi, englanti;male;1;2;2;2;2;2;1;2;1;1;0;1;2;2;1;1;1;2;1;2;2;0;2;3;0
Tapio Varmola;Suomen Sosialidemokraattinen Puolue;Seinäjoki;ylempi korkeakoulututkinto;1953;suomi;suomi;male;3;1;1;2;2;1;2;2;2;0;2;2;2;1;2;3;2;3;1;2;1;0;1;3;2
Tara Saareks;Perussuomalaiset;Lappeenranta;ammattitutkinto;1972;suomi;suomi;female;2;1;2;3;1;2;1;3;0;3;0;0;1;2;1;1;0;2;2;2;1;2;1;2;1
Tarja Aatonen;Suomen Sosialidemokraattinen Puolue;Hollola;ammattitutkinto;1964;suomi;suomi, ruotsi, englanti;female;2;2;0;3;1;2;1;3;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;1
Tarja Anttonen;Suomen Keskusta;Heinola;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;2;1;2;3;2;1;3;3;1;0;2;2;3;3;0;2;1;2;2;3;1;0;0;2;2
Tarja Eklund;Suomen Sosialidemokraattinen Puolue;Vantaa;peruskoulu;1956;suomi;suomi;female;3;2;1;2;1;2;1;2;2;0;2;1;2;3;1;1;0;2;3;2;1;1;1;3;2
Tarja Ewane;Suomen Kristillisdemokraatit (KD);Sonkajärvi;ylioppilas;1960;suomi;suomi, ruotsi, englanti;female;3;2;2;2;1;2;1;2;1;3;0;0;3;3;1;1;0;1;0;2;0;1;0;2;0
Tarja Filatov;Suomen Sosialidemokraattinen Puolue;Hämeenlinna;joku muu;1963;suomi;suomi, ruotsi, englanti;female;3;2;1;3;1;1;2;3;2;0;3;0;3;2;0;1;2;2;2;2;0;0;0;2;3
Tarja Grönblom;Perussuomalaiset;Pori;ammattitutkinto;1969;suomi;suomi;female;3;2;2;3;1;1;1;3;0;2;0;1;3;3;2;1;0;3;2;3;0;1;1;2;2
Tarja Hackzell;Suomen Sosialidemokraattinen Puolue;Kempele;ylempi korkeakoulututkinto;1967;suomi;suomi;female;3;2;1;0;2;2;2;3;3;0;3;2;3;3;1;1;0;0;3;3;0;0;0;2;2
Tarja Honkalampi;Kansallinen Kokoomus;Lahti;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti, saksa;female;3;0;2;1;0;0;3;1;0;0;3;0;3;3;2;0;0;0;3;2;0;2;2;0;3
Tarja Hyykky;Suomen Keskusta;Juuka;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;3;1;1;2;3;1;1;1;0;3;3;1;1;0;1;1;3;1;0;0;1;1
Tarja Impiö;Vapauden liitto;Ranua;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti;female;3;2;1;2;1;1;1;3;0;2;0;0;3;2;1;2;1;2;1;3;2;2;1;3;1
Tarja Itkonen;Suomen Kristillisdemokraatit (KD);Joensuu;ylempi korkeakoulututkinto;1963;suomi;ruotsi, englanti;female;2;2;0;0;0;0;1;3;3;3;1;3;3;3;0;2;0;3;3;3;0;0;0;3;2
Tarja Kirkkola-helenius;Vasemmistoliitto;Jokioinen;ylioppilas;1961;suomi;suomi, ruotsi, englanti, saksa;female;3;3;0;1;1;3;3;1;3;0;3;2;3;3;1;0;0;3;3;3;2;0;0;2;3
Tarja Kivikoski;Suomen Sosialidemokraattinen Puolue;Varkaus;ammattitutkinto;1968;suomi;suomi, englanti;female;3;2;1;0;0;0;2;3;1;1;1;2;3;3;2;1;1;2;3;3;1;0;0;1;0
Tarja Kuikka;Suomen Sosialidemokraattinen Puolue;Hyvinkää;ammattitutkinto;1962;suomi;suomi, ruotsi, englanti;female;3;2;1;3;1;1;3;3;2;0;2;1;3;3;2;1;2;1;2;2;0;2;0;3;2
Tarja Kärkkäinen;Suomen Sosialidemokraattinen Puolue;Lieksa;ammattitutkinto;1957;suomi;suomi;female;3;2;1;2;1;1;3;2;2;0;3;2;3;2;2;1;0;2;3;3;1;0;0;1;2
Tarja Laitinen;Kansallinen Kokoomus;Kuopio;ylempi korkeakoulututkinto;1974;suomi;ruotsi, englanti;female;2;1;2;2;2;0;2;3;2;0;3;0;2;2;2;2;1;0;2;3;0;1;2;2;2
Tarja Lattu;Kansallinen Kokoomus;Orimattila;alempi korkeakoulututkinto;1968;suomi;englanti;female;2;0;2;2;2;2;2;3;0;0;3;1;2;3;2;1;0;2;3;3;0;2;1;2;1
Tarja Makkonen;Suomen Sosialidemokraattinen Puolue;Vaasa;ylempi korkeakoulututkinto;1965;suomi;ruotsi, englanti;female;3;2;1;2;2;2;1;3;3;0;2;2;2;1;2;1;1;1;3;1;3;0;3;2;2
Tarja Meronen;Kansallinen Kokoomus;Hämeenlinna;ylempi korkeakoulututkinto;1968;suomi;suomi, ruotsi, englanti;female;2;2;2;2;2;2;2;2;1;2;1;0;2;2;1;1;3;1;2;3;0;1;2;2;2
Tarja Muurinen;Suomen Keskusta;Turku;alempi korkeakoulututkinto;1973;suomi;suomi, englanti;female;2;1;1;1;0;2;2;3;2;1;2;1;3;2;1;2;0;1;3;2;1;1;1;1;2
Tarja Mäki-Punto-Ristanen;Kansallinen Kokoomus;Loimaa;alempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti;female;1;1;3;0;2;0;3;2;2;1;3;1;3;3;2;1;0;2;2;2;0;3;1;2;1
Tarja Ollanketo;Vasemmistoliitto;Raahe;ammattitutkinto;1955;suomi;suomi;female;3;3;1;1;3;2;3;2;2;0;3;1;3;3;1;1;3;3;3;3;2;1;0;2;3
Tarja Pasma;Vihreä liitto;Oulu;ylempi korkeakoulututkinto;1958;suomi;ruotsi, englanti;female;3;3;1;2;2;2;3;2;2;0;3;1;3;3;2;0;2;3;3;3;3;2;0;3;3
Tarja Pirkkalainen;Suomen Keskusta;Sonkajärvi;alempi korkeakoulututkinto;1955;suomi;englanti;female;3;1;1;0;0;1;2;2;2;0;3;1;2;2;2;2;0;3;1;3;0;0;0;0;2
Tarja Puotsaari;Vasemmistoliitto;Aura;ammattitutkinto;1958;suomi;suomi, ruotsi, englanti;female;3;2;1;0;1;2;0;3;2;0;3;2;2;3;1;1;0;2;1;3;0;0;1;1;2
Tarja Saharinen;Suomen Keskusta;Varkaus;joku muu;1960;suomi;suomi, ruotsi, englanti;female;3;2;1;2;1;1;2;3;2;0;3;1;3;3;1;1;1;2;3;2;0;1;1;2;2
Tarja Soinne;Suomen Sosialidemokraattinen Puolue;Pori;alempi korkeakoulututkinto;1967;suomi;suomi, englanti;female;3;2;1;3;1;2;1;3;2;1;3;1;3;1;2;1;0;2;2;2;2;0;1;2;3
Tarja Suopajärvi;Vihreä liitto;Rovaniemi;alempi korkeakoulututkinto;1961;suomi;ruotsi, englanti;;1;1;1;1;2;2;2;1;2;0;3;1;3;3;2;1;2;2;2;2;2;1;1;3;3
Tarja Tanila-vaske;Perussuomalaiset;Tuusula;ammattitutkinto;1959;suomi;suomi;female;3;1;2;2;3;1;0;3;0;3;0;1;1;3;1;1;2;2;0;3;0;3;3;3;1
Tarja Tornio;Suomen Keskusta;Asikkala;alempi korkeakoulututkinto;1954;suomi;suomi, englanti;female;2;0;3;3;1;0;3;3;2;2;2;0;0;1;2;1;0;3;1;2;1;0;0;1;3
Tarja Turunen;Suomen Kristillisdemokraatit (KD);Lappeenranta;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, saksa, venäjä;female;2;1;2;2;2;1;1;2;1;2;1;2;1;2;1;1;2;2;1;2;1;1;1;1;1
Tarja Vierikko;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1960;suomi;suomi;female;3;2;1;1;1;1;0;3;1;1;2;1;2;3;1;1;0;3;2;3;2;1;0;2;1
Tarleena Takalo-eskola;Kansallinen Kokoomus;Nurmijärvi;ylempi korkeakoulututkinto;1968;suomi;suomi, englanti;female;2;2;2;0;1;2;2;3;2;1;2;1;2;2;2;1;2;1;3;3;0;2;1;3;2
Tarmo Ketola;Vihreä liitto;Petäjävesi;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;male;2;1;2;3;1;2;2;2;2;0;3;1;3;2;2;1;2;2;2;2;1;3;2;3;2
Tarmo Koivunen;Perussuomalaiset;Naantali;ammattitutkinto;1959;suomi;;male;3;2;2;1;1;2;0;3;0;1;0;1;2;3;1;3;0;2;0;3;1;0;0;3;0
Tarmo Raatikainen;Vasemmistoliitto;Kuusamo;ylempi korkeakoulututkinto;1962;suomi;englanti;male;3;3;1;0;1;1;2;2;2;0;3;2;3;2;1;2;0;2;2;3;2;0;0;2;2
Tarmo Seppä;Suomen Keskusta;Sastamala;peruskoulu;1952;suomi;suomi;male;3;2;2;2;2;0;3;3;0;2;3;0;3;2;1;1;2;2;0;3;0;3;0;3;3
Tarmo Taavila;Vasemmistoliitto;Orimattila;ammattitutkinto;1953;suomi;suomi;male;3;3;0;1;0;2;2;2;3;0;3;2;3;3;0;0;1;3;3;2;3;0;0;3;3
Tarmo Vähäkangas;Perussuomalaiset;Mäntsälä;alempi korkeakoulututkinto;1966;suomi;suomi;male;3;2;2;1;1;1;1;3;1;0;0;1;2;2;0;3;3;3;0;2;0;2;1;0;0
Taru Deniz;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;2;2;1;3;2;1;2;2;3;0;3;2;3;3;1;1;1;2;3;2;2;1;0;2;3
Taru Eskonen-myllylä;Vihreä liitto;Laukaa;alempi korkeakoulututkinto;1987;suomi;suomi, englanti;female;3;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1;2;3;2;1;1;1;2
Taru Hallikainen;Vihreä liitto;Oulu;ylempi korkeakoulututkinto;1977;suomi;suomi, englanti;female;2;2;1;0;1;2;2;3;2;0;3;0;3;3;1;1;0;2;3;2;1;1;1;3;3
Taru Hyrkäs .SIT;Vihreä liitto;Pori;alempi korkeakoulututkinto;1996;suomi;suomi, englanti;female;1;1;3;3;3;2;2;1;1;0;2;1;3;3;1;1;2;0;3;3;0;2;1;1;2
Taru Kaaja;Kansallinen Kokoomus;Sastamala;ylempi korkeakoulututkinto;1964;suomi;suomi;female;2;2;2;2;2;1;2;3;1;1;2;2;2;2;1;1;1;2;2;2;0;2;1;2;2
Taru Kaario;Vihreä liitto;Tampere;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;1;1;1;2;1;2;2;2;2;0;2;2;3;3;0;1;2;2;3;2;2;3;1;2;3
Taru Kulmala;Vapauden liitto;Ruovesi;joku muu;1987;suomi;suomi;female;3;3;2;0;0;2;0;3;1;0;1;2;3;3;1;0;0;3;2;3;1;1;0;3;0
Taru Kuparinen;Kansallinen Kokoomus;Hyvinkää;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;3;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;1;1;2;2;3;2
Taru Kyllönen;Vihreä liitto;Vantaa;ylioppilas;2001;suomi;suomi, englanti;female;2;3;0;1;1;0;2;3;3;0;3;1;3;3;1;0;0;3;3;3;3;1;0;3;3
Taru Lehtinen;Suomen Sosialidemokraattinen Puolue;Oulu;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;3;2;1;1;1;1;1;2;0;0;3;1;3;3;3;0;2;2;1;2;0;3;0;0;2
Taru Lindholm;Vihreä liitto;Kuopio;ylempi korkeakoulututkinto;1999;suomi;suomi, ruotsi, englanti;female;3;2;1;1;1;1;1;3;1;0;2;2;3;3;1;0;1;2;3;2;2;1;0;3;3
Taru Marjamäki;Vasemmistoliitto;Turku;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;female;3;3;0;0;0;0;0;3;2;0;3;1;2;2;1;0;2;3;3;2;3;1;0;3;2
Taru Rantanen;Suomen Sosialidemokraattinen Puolue;Pyhäranta;ammattitutkinto;1989;suomi;suomi;female;3;2;1;3;0;1;0;3;1;0;2;0;3;3;1;1;1;1;1;3;0;0;1;1;1
Taru Sahla;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, saksa, viittomakieli;female;3;2;1;0;2;2;0;3;2;0;3;1;2;3;1;2;2;1;3;3;0;1;0;0;3
Taru Salmivuori;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, saksa, venäjä, espanja;female;2;1;0;0;1;1;0;3;1;1;2;2;3;2;1;1;1;2;1;3;0;0;1;1;1
Taru Salovaara;Suomen Sosialidemokraattinen Puolue;Espoo;alempi korkeakoulututkinto;1992;suomi;ruotsi, englanti;female;3;2;1;0;2;1;2;3;3;0;3;1;3;2;1;1;1;3;3;3;2;1;1;3;2
Taru Säteri;Kansallinen Kokoomus;Turku;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti;female;2;1;2;0;3;1;3;3;3;0;3;0;2;3;2;0;1;2;3;3;0;2;1;2;3
Taru Tolvanen;Suomen Sosialidemokraattinen Puolue;Pirkkala;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;3;3;1;1;1;1;2;2;2;0;2;2;2;3;1;1;1;2;2;2;1;2;0;2;2
Taru Turunen;Kansallinen Kokoomus;Pieksämäki;ylempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;1;1;2;3;2;2;2;3;1;0;2;1;2;2;2;1;2;2;3;2;0;1;0;3;1
Tate Maautu;Suomen Keskusta;Joensuu;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;male;2;2;1;3;1;1;1;2;1;0;2;2;3;2;1;3;0;2;3;3;3;1;1;3;1
Tatiana Voutilainen;Perussuomalaiset;Leppävirta;ammattitutkinto;1991;suomi;suomi, englanti, venäjä;female;1;2;2;2;1;0;0;2;2;0;1;0;3;2;0;2;0;2;0;3;0;0;0;3;0
Tatjana Lisko;Kansallinen Kokoomus;Rovaniemi;ammattitutkinto;1978;jokin muu;suomi, englanti, venäjä;female;3;1;2;0;1;2;1;2;0;1;1;2;2;2;1;2;2;2;2;3;1;2;1;3;1
Tatu Alari;Suomen Sosialidemokraattinen Puolue;Turku;ylioppilas;2000;suomi;suomi, ruotsi, englanti;male;3;3;0;0;1;2;2;3;1;0;2;1;3;3;1;0;1;3;3;3;3;3;1;3;2
Tatu Chanth;Eläinoikeuspuolue;Porvoo;ammattitutkinto;1978;suomi;suomi, englanti;male;3;3;1;0;0;1;1;3;3;0;3;2;3;2;0;1;1;3;3;3;2;2;0;3;3
Tatu Hämäläinen;Vasemmistoliitto;Vantaa;ammattitutkinto;1985;suomi;suomi, englanti;male;3;3;0;1;0;1;2;2;3;0;3;2;3;3;1;0;0;3;3;0;2;0;0;3;3
Tatu Laine;Suomen Keskusta;Suonenjoki;ammattitutkinto;1981;suomi;suomi, englanti;male;3;1;1;1;1;0;1;3;0;0;0;0;1;2;2;2;2;0;2;3;0;2;1;2;2
Tatu Siltanen;Vihreä liitto;Kauhajoki;ammattitutkinto;1979;suomi;suomi, ruotsi, englanti, saksa;male;3;3;0;2;0;2;3;3;3;0;3;0;3;3;2;0;1;2;3;3;3;3;0;2;3
Tatu Tossavainen;Vasemmistoliitto;Kuopio;ylempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;male;3;3;0;0;2;0;3;2;3;0;3;2;3;3;0;1;1;3;3;2;3;2;0;3;3
Tatu Tyni;Vapauden liitto;Raasepori;joku muu;1974;suomi;suomi, englanti;male;3;2;2;0;0;2;0;3;0;1;0;1;3;2;1;2;0;3;0;3;0;0;1;2;0
Tatu Vahala;Vihreä liitto;Turku;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;3;2;1;0;1;1;2;2;3;0;3;1;3;3;1;1;2;2;3;3;1;1;1;2;3
Tauno Lampinen;Perussuomalaiset;Kuortane;peruskoulu;1956;suomi;suomi;male;2;2;2;1;1;1;1;3;1;1;1;0;2;3;0;2;1;2;1;3;0;3;1;3;1
Tauno Tuomisto;Suomen Keskusta;Vaasa;ylempi korkeakoulututkinto;1956;suomi;suomi, ruotsi, englanti;male;3;2;2;3;1;1;2;3;0;3;0;0;3;3;1;0;0;2;2;3;0;2;2;3;2
Tauno Ylä-Soininmäki;Suomen Sosialidemokraattinen Puolue;Lahti;ammattitutkinto;1958;suomi;suomi;male;2;2;3;2;2;2;2;3;2;1;2;1;3;3;2;1;1;2;2;2;1;1;1;2;2
Tawar Salari;Suomen Sosialidemokraattinen Puolue;Turku;alempi korkeakoulututkinto;1995;jokin muu;suomi, ruotsi, englanti;female;3;2;0;0;2;1;0;3;2;0;2;1;2;3;0;0;0;1;3;3;2;0;0;2;2
Tea Heikkinen;Kansallinen Kokoomus;Kajaani;ylempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;3;1;2;3;2;1;1;2;0;1;0;0;3;2;2;1;2;2;2;3;0;1;1;0;0
Tea Jaakkola;Perussuomalaiset;Forssa;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;1;0;1;0;3;0;1;1;1;2;2;2;1;0;2;3;3;0;1;0;2;1
Tea Nieminen;Suomen Keskusta;Pornainen;alempi korkeakoulututkinto;1981;suomi;englanti;female;2;2;1;2;0;1;2;2;1;0;2;1;2;2;1;1;1;2;2;3;1;1;1;1;1
Tea Stolt de Glanville;Suomen ruotsalainen kansanpuolue;Oulu;alempi korkeakoulututkinto;1974;ruotsi;suomi, ruotsi, englanti, ranska, espanja, joku muu;female;1;3;2;1;1;1;2;3;2;0;2;2;2;3;0;0;1;1;3;2;1;0;1;0;2
Tea Valjakka;Kansallinen Kokoomus;Porvoo;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;female;3;1;2;1;0;3;2;3;1;1;1;1;2;3;1;1;1;1;2;3;2;1;1;1;2
Teemu Aaltonen;Kansallinen Kokoomus;Tampere;ylioppilas;1972;suomi;suomi, ruotsi, englanti;male;3;0;3;2;2;2;2;2;1;0;0;0;3;3;2;3;2;0;3;2;0;2;1;1;0
Teemu Ahlfors;Vasemmistoliitto;Pori;ylioppilas;1978;suomi;suomi, englanti;male;3;2;0;2;2;2;2;2;3;0;3;2;3;2;1;1;0;2;3;3;2;2;1;2;2
Teemu Arponen;Perussuomalaiset;Joensuu;alempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;male;3;2;2;0;2;2;0;3;0;1;1;0;2;2;0;3;1;1;0;3;0;1;1;3;1
Teemu Backnäs;Suomen Sosialidemokraattinen Puolue;Kuopio;ylempi korkeakoulututkinto;1981;suomi;ruotsi, englanti, saksa, espanja;male;3;2;0;1;2;2;3;2;2;1;2;1;2;1;1;1;2;2;3;1;2;3;0;2;2
Teemu Björn;Vihreä liitto;Kuopio;alempi korkeakoulututkinto;1988;suomi;suomi, englanti;male;3;2;0;2;2;1;3;3;2;0;3;2;3;2;2;0;2;2;3;3;3;1;0;3;3
Teemu Europaeus;Suomen Keskusta;Rautjärvi;ammattitutkinto;1976;suomi;englanti;male;2;1;2;3;0;3;2;3;0;0;1;0;3;3;2;2;1;2;1;3;0;0;0;3;2
Teemu Haapaniemi;Suomen Sosialidemokraattinen Puolue;Kokkola;ylempi korkeakoulututkinto;1977;suomi;suomi, englanti;male;3;2;1;2;2;2;2;2;1;2;2;2;3;2;0;3;1;2;2;2;1;1;1;2;1
Teemu Hakala;Suomen Keskusta;Kauhava;ylempi korkeakoulututkinto;1980;suomi;suomi, englanti;male;2;1;1;3;0;2;2;3;1;0;1;0;3;2;1;2;1;3;0;3;0;0;0;1;2
Teemu Hiilinen;Vasemmistoliitto;Vantaa;ammattitutkinto;1975;suomi;suomi, englanti;male;3;3;0;2;1;2;2;2;3;0;3;2;3;2;1;1;1;3;3;2;3;2;0;2;3
Teemu Kajava;Kansallinen Kokoomus;Tammela;ylioppilas;1986;suomi;suomi, englanti;male;3;0;3;3;2;0;1;3;0;2;1;1;3;2;1;2;2;1;1;3;0;3;1;1;2
Teemu Kivimaa;Vasemmistoliitto;Nokia;ammattitutkinto;1991;suomi;suomi, englanti;male;3;3;1;1;1;2;2;3;3;0;3;2;3;3;0;1;0;3;3;3;3;1;1;3;3
Teemu Knuutti;Suomen Keskusta;Laihia;ammattitutkinto;1983;suomi;suomi, ruotsi, englanti;male;1;2;0;3;2;1;3;3;2;0;2;0;3;2;0;2;3;0;3;3;0;0;0;0;1
Teemu Koistinen;Perussuomalaiset;Kouvola;ylioppilas;1982;suomi;suomi, ruotsi, englanti, venäjä;male;1;3;2;1;1;2;2;1;0;1;1;0;2;2;2;1;2;1;3;3;0;2;2;3;1
Teemu Korhonen;Vihreä liitto;Espoo;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, saksa;male;2;1;1;2;3;1;1;1;1;0;2;1;1;1;2;1;3;2;2;1;1;3;2;0;3
Teemu Koskela;Perussuomalaiset;Kokkola;ammattitutkinto;1987;suomi;suomi, englanti;male;2;2;2;1;3;2;0;3;1;0;1;1;3;3;1;2;0;1;2;2;1;0;2;2;0
Teemu Kumpulainen;Perussuomalaiset;Vantaa;alempi korkeakoulututkinto;1978;suomi;suomi, englanti, viro;male;3;0;2;2;0;2;0;3;0;0;0;2;3;3;0;3;3;2;2;3;3;3;1;3;0
Teemu Kyllönen;Sitoutumaton;Puolanka;ylempi korkeakoulututkinto;1984;suomi;suomi, englanti;male;3;0;2;3;1;2;3;3;2;0;2;1;3;2;1;3;0;2;2;2;3;0;0;1;2
Teemu Lahtinen;Perussuomalaiset;Espoo;alempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, saksa, ranska, viro, joku muu;male;2;1;2;3;0;2;0;3;0;2;0;0;3;2;2;2;2;1;1;3;0;3;2;2;2
Teemu Laine;Vihreä liitto;Hollola;ammattitutkinto;1977;suomi;suomi, englanti;male;3;1;2;3;1;3;1;3;2;0;3;1;3;2;0;2;2;1;2;3;1;2;0;2;3
Teemu Laukkanen;Vihreä liitto;Pieksämäki;ylempi korkeakoulututkinto;1988;suomi;suomi, englanti;male;2;1;1;1;1;2;2;2;2;0;2;1;3;2;2;1;1;1;2;2;1;1;1;2;2
Teemu Laulajainen;Vasemmistoliitto;Rauma;ylioppilas;1974;suomi;suomi, ruotsi, englanti;male;3;2;3;3;2;2;2;2;0;0;3;2;1;3;1;1;0;3;3;2;3;0;1;2;3
Teemu Matinpuro;Vasemmistoliitto;Karkkila;ylioppilas;1961;suomi;suomi, ruotsi, englanti, saksa, espanja;male;3;3;0;0;2;0;2;3;3;0;3;2;3;3;1;0;1;3;3;2;2;1;1;0;2
Teemu Niva;Perussuomalaiset;Kajaani;ylioppilas;1979;suomi;suomi, ruotsi, englanti, saksa;male;1;1;2;3;2;1;3;2;1;3;1;1;2;2;1;2;2;1;2;2;0;1;2;0;1
Teemu Ovaska;Perussuomalaiset;Järvenpää;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;male;3;1;2;3;2;2;3;0;0;1;1;0;1;2;2;2;3;0;1;2;2;2;1;3;1
Teemu Parkkila;Suomen Keskusta;Kokkola;ammattitutkinto;1996;suomi;suomi, englanti;male;3;0;1;2;1;2;1;3;1;0;2;2;2;2;0;2;1;3;3;2;2;1;1;2;1
Teemu Pietarinen;Kansallinen Kokoomus;Vantaa;ylempi korkeakoulututkinto;1983;suomi;suomi, ruotsi, englanti;male;1;1;3;2;3;2;3;3;2;0;3;0;3;1;3;3;3;1;3;3;2;3;3;2;2
Teemu Purje;Suomen Sosialidemokraattinen Puolue;Vihti;alempi korkeakoulututkinto;1996;suomi;suomi, ruotsi, englanti;male;3;3;2;1;1;1;3;3;2;0;2;0;3;3;0;1;0;1;3;3;1;1;0;1;1
Teemu Purojärvi;Perussuomalaiset;Vantaa;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, venäjä;male;2;3;3;2;2;1;0;3;0;0;1;1;3;2;1;2;1;2;3;3;0;3;1;2;1
