Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Pekka Metso;Suomen Keskusta;Kaarina;ammattitutkinto;1982;suomi;suomi, englanti;male;3;0;3;3;2;1;2;1;2;2;0;0;1;3;0;0;3;3;2;1;2;1;1;0;2
Jari Mäkinen;Suomen Sosialidemokraattinen Puolue;Kaarina;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti;male;3;1;1;3;1;2;2;1;1;2;0;1;1;2;1;1;0;3;1;2;1;1;1;1;0
Kari Nikkonen;Suomen Sosialidemokraattinen Puolue;Kaarina;ammattitutkinto;1956;suomi;suomi;male;3;1;1;1;1;1;2;1;2;2;2;1;2;2;1;1;2;2;1;1;1;1;2;0;1
Pertti Nurmi;Suomen Sosialidemokraattinen Puolue;Kaarina;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti;male;2;2;2;2;1;1;2;2;2;1;1;1;1;3;1;1;2;2;2;1;2;1;1;1;2
Karl-erik Nyman;Suomen ruotsalainen kansanpuolue;Kaarina;ylempi korkeakoulututkinto;1949;ruotsi;suomi, ruotsi, englanti, saksa;male;3;2;3;1;1;2;1;3;2;2;1;1;1;2;1;0;1;1;2;0;1;1;1;1;1
Niko Pentti;Kansallinen Kokoomus;Kaarina;ylioppilas;1974;suomi;suomi, ruotsi, englanti;male;2;2;2;2;2;1;3;3;3;0;2;2;1;3;0;0;3;1;2;1;2;1;1;1;0
Matti Raho;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;1;2;1;1;2;2;1;1;2;1;1;1;2;2;1;2;1;2;1;1
Juuso Ranne;Suomen Sosialidemokraattinen Puolue;Kaarina;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;male;3;2;3;2;0;0;2;3;3;2;2;0;3;2;0;1;2;0;2;1;2;1;3;1;2
Juhani Rantanen;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1970;suomi;suomi;male;2;1;2;1;1;1;1;3;1;2;1;1;2;3;1;1;2;2;3;1;2;0;1;1;2
Hannu Rautanen;Vihreä liitto;Kaarina;alempi korkeakoulututkinto;1951;suomi;suomi, ruotsi, englanti;male;3;1;2;2;0;2;0;1;1;3;0;2;2;3;3;0;3;2;3;0;3;0;2;0;3
Michael Rautiainen;Perussuomalaiset;Kaarina;peruskoulu;1994;ruotsi;suomi, ruotsi, englanti;male;3;1;3;2;1;0;2;2;1;3;0;0;0;3;0;0;1;3;0;2;1;2;1;0;1
Henrik Rentola;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1979;suomi;;male;2;1;2;2;1;1;2;2;3;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1
Ismo Reunamo;Suomen Sosialidemokraattinen Puolue;Kaarina;ammattitutkinto;1957;suomi;suomi;male;3;1;1;2;1;1;3;1;2;2;1;2;1;2;0;0;3;3;0;3;0;3;0;1;0
Henry Saarinen;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;male;2;1;3;0;1;2;2;2;2;0;0;0;1;3;0;1;1;1;2;1;2;1;1;2;1
Jami Salonen;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1998;suomi;ruotsi, englanti, saksa;male;3;1;3;3;2;1;2;3;3;1;1;1;2;3;1;2;1;3;2;1;1;1;0;2;2
Johannes Sankari;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, saksa;male;2;2;2;2;1;1;2;3;2;2;1;2;2;2;2;1;2;3;2;1;1;1;2;0;2
