Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Claudia Lundberg;Liike Nyt;Sipoo;ammattitutkinto;1976;ruotsi;suomi, ruotsi, englanti;female;3;1;3;3;3;0;1;1;1;3;1;3;0;1;0;2;0;3;2;0;1;1;0;0;1
Sanna Lähdesalo;Suomen ruotsalainen kansanpuolue;Sipoo;ylioppilas;1978;ruotsi;suomi, ruotsi, englanti;female;3;0;3;2;2;1;2;3;3;3;1;2;2;3;0;1;1;2;2;0;3;0;2;0;3
Johanna Muurinen;Vihreä liitto;Sipoo;joku muu;1979;suomi;suomi, ruotsi, englanti;female;2;1;3;1;1;3;3;1;1;2;0;1;1;3;0;1;3;3;3;0;3;0;2;1;3
Miia Myyryläinen;Suomen Sosialidemokraattinen Puolue;Sipoo;ylempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti;female;3;1;3;3;1;2;1;1;2;1;1;0;1;3;0;0;3;2;2;0;3;0;3;0;3
Elli Mäntyranta;Vihreä liitto;Sipoo;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;3;1;3;2;1;3;1;1;0;2;1;1;2;3;0;0;3;3;3;0;3;0;2;1;3
Ada Möller;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1992;ruotsi;suomi, ruotsi, englanti, espanja;female;3;1;3;2;1;2;1;1;1;3;2;0;0;0;0;0;1;3;3;0;3;0;1;0;3
Anu Nevanlinna;Vasemmistoliitto;Sipoo;alempi korkeakoulututkinto;1950;suomi;suomi, ruotsi, englanti;female;3;0;3;1;2;2;1;1;0;3;2;1;2;3;0;0;3;3;3;0;3;0;2;0;3
Mari Nikkanen;Suomen Sosialidemokraattinen Puolue;Sipoo;ylempi korkeakoulututkinto;1980;suomi;ruotsi, englanti;female;3;1;3;3;0;2;3;1;1;3;0;1;2;3;1;2;2;2;2;1;0;0;1;0;1
Mervi Nyfors;Kansallinen Kokoomus;Sipoo;joku muu;1974;suomi;suomi, ruotsi, englanti;female;1;2;2;3;0;0;3;3;3;0;0;1;2;0;0;0;1;0;1;1;1;2;0;2;0
Sari Rauvanto-eriksson;Suomen Keskusta;Sipoo;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;2;0;1;2;1;1;1;2;1;1;3;1;1;1;1;2;1;2;1;2;0;2
Sari Rissanen;Kansallinen Kokoomus;Sipoo;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;3;2;3;1;1;1;2;2;2;1;0;0;1;2;1;2;1;3;2;1;2;1;1;2;2
Micaela Röman;Suomen ruotsalainen kansanpuolue;Sipoo;ylioppilas;1970;ruotsi;suomi, ruotsi, englanti, saksa, ranska, joku muu;female;2;0;3;2;0;2;1;1;1;2;1;0;1;2;0;1;2;2;3;0;1;0;1;0;3
Jenni Sademies;Vihreä liitto;Sipoo;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;1;3;2;0;3;1;1;1;1;0;1;2;3;1;1;3;3;3;0;3;1;2;0;3
Tiina Sinkkonen;Suomen Kristillisdemokraatit (KD);Sipoo;alempi korkeakoulututkinto;1960;suomi;suomi, englanti;female;3;1;3;3;3;1;3;2;1;1;0;0;0;2;1;2;0;2;1;1;1;2;2;2;0
Ella Sundqvist;Kansallinen Kokoomus;Sipoo;ammattitutkinto;2003;suomi;suomi, ruotsi, englanti;female;2;2;3;1;2;1;2;3;2;2;1;3;1;2;1;1;0;1;2;2;2;1;2;2;1
Iida Tall;Suomen ruotsalainen kansanpuolue;Sipoo;ammattitutkinto;1997;ruotsi;suomi, ruotsi, englanti;female;2;2;3;3;0;0;2;2;2;3;0;2;0;2;2;0;1;2;2;1;2;1;1;1;1
Ritva Tarvainen;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1962;suomi;ruotsi, englanti, saksa;female;2;2;2;2;1;1;2;3;3;2;1;2;1;2;1;2;1;2;2;0;1;2;0;1;1
Anna-karoliina Vilonen;Vihreä liitto;Sipoo;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;2;2;3;2;1;1;1;2;2;2;1;0;2;3;0;0;2;3;3;0;3;0;2;1;3
Maarit Virtanen;Perussuomalaiset;Sipoo;ammattitutkinto;1959;suomi;suomi;female;3;0;2;2;1;1;3;3;3;3;2;0;0;3;0;1;1;3;0;3;0;3;0;0;1
Suvi-päivikki Vuoksenranta;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti;female;2;2;2;2;0;2;2;2;2;2;0;1;1;2;2;2;1;1;2;1;2;1;0;1;3
Chi Weckström;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1989;jokin muu;suomi, ruotsi, englanti, ranska;female;2;0;3;3;3;1;2;2;2;2;0;2;1;3;0;0;1;3;3;0;3;0;1;0;3
Stella Wickström;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1951;ruotsi;suomi, ruotsi, englanti, ranska;female;1;1;2;2;2;3;2;2;2;2;0;3;0;2;1;0;2;1;2;0;2;0;2;1;3
Maria von Flittner;Liike Nyt;Sipoo;ylioppilas;1969;suomi;suomi, ruotsi, englanti;female;3;0;3;1;0;1;2;3;2;1;2;1;0;1;1;2;1;2;2;1;1;1;1;2;1
Tuomas J. Alaterä;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti;male;2;1;3;2;0;2;2;2;2;2;0;1;1;2;2;1;2;2;2;0;2;0;1;0;3
Martin Andersson;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1964;ruotsi;suomi, ruotsi, englanti, saksa;male;3;0;3;2;0;1;2;2;1;2;2;1;1;3;0;1;2;3;2;0;1;0;1;0;2
Tero Annanolli;Suomen Keskusta;Sipoo;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi;male;3;1;3;2;2;0;3;2;2;0;2;1;2;2;0;0;1;3;2;1;1;1;2;0;1
Anders Backström;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1971;ruotsi;suomi, ruotsi, englanti;male;2;2;3;2;0;2;3;3;1;2;1;1;2;2;0;0;2;3;3;0;3;0;2;1;3
Hannu Granberg;Kansallinen Kokoomus;Sipoo;ammattitutkinto;1980;suomi;suomi, ruotsi, englanti;male;3;2;2;2;3;0;2;3;3;3;0;0;0;3;2;2;0;2;1;2;3;2;0;1;2
Antti Haajanen;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1967;suomi;ruotsi, englanti;male;3;2;3;3;2;0;2;3;3;0;0;1;1;3;1;0;1;0;2;0;1;2;0;1;0
Petri Haikonen;Kansallinen Kokoomus;Sipoo;alempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;male;3;1;3;3;0;1;2;3;3;2;0;1;0;2;2;2;0;2;1;3;0;2;1;0;0
Robert Helenius;Perussuomalaiset;Sipoo;peruskoulu;1984;ruotsi;suomi, ruotsi, englanti, saksa;male;3;2;2;3;0;0;2;3;3;3;0;2;0;1;0;2;0;0;0;3;0;3;0;1;0
Samu Hupli;Perussuomalaiset;Sipoo;joku muu;1987;suomi;suomi, ruotsi, englanti;male;3;0;3;3;1;0;0;2;1;2;0;3;1;3;1;0;0;1;3;2;1;1;1;1;0
Jokke Härmä;Kansallinen Kokoomus;Sipoo;ammattitutkinto;1967;suomi;englanti;male;2;0;3;2;0;0;2;3;3;0;1;1;0;2;0;1;1;2;0;2;0;3;0;0;0
Maximilian Järvinen;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1997;jokin muu;suomi, ruotsi, englanti, saksa, joku muu;male;3;1;3;1;1;2;2;1;1;2;0;1;1;3;0;1;2;3;2;1;2;0;2;0;1
Antti Kaikkonen;Suomen Keskusta;Sipoo;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, saksa;male;2;1;3;2;1;1;2;2;2;1;0;1;1;1;0;1;1;2;2;1;2;1;1;0;2
Tim Kankfelt;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1970;ruotsi;suomi, ruotsi, englanti;male;2;2;3;3;1;1;2;2;1;2;1;1;2;1;1;0;2;2;2;1;2;1;1;1;2
Esa Kantee;Perussuomalaiset;Sipoo;ammattitutkinto;1972;suomi;suomi;male;3;1;3;3;0;0;1;3;3;3;0;3;0;0;1;3;0;0;0;3;0;3;0;2;0
Heikki Koivupalo;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1985;suomi;suomi, englanti;male;3;2;1;1;1;1;2;3;2;1;1;2;1;2;1;1;1;1;2;2;1;2;1;1;1
Juha Kopra;Kansallinen Kokoomus;Sipoo;ammattitutkinto;1963;suomi;suomi;male;2;2;3;2;0;1;1;3;3;0;0;2;0;2;1;1;1;1;2;1;1;1;1;1;1
Lauri Korpimäki;Kansallinen Kokoomus;Sipoo;ylioppilas;2005;suomi;suomi, ruotsi, englanti;male;2;2;3;2;0;1;2;3;2;2;0;2;2;3;0;2;1;2;2;1;0;1;1;1;1
Marcus Krogell;Suomen Sosialidemokraattinen Puolue;Sipoo;ylempi korkeakoulututkinto;1976;ruotsi;suomi, ruotsi, englanti, joku muu;male;3;1;3;1;1;2;3;1;1;2;0;2;0;3;1;2;2;1;1;1;1;1;2;2;2
Jari Kuukkanen;Kansallinen Kokoomus;Sipoo;peruskoulu;1962;suomi;suomi, englanti;male;2;2;2;2;2;1;2;2;2;1;1;2;1;3;2;2;2;1;2;0;2;1;1;1;2
Harri Lehtonen;Vihreä liitto;Sipoo;alempi korkeakoulututkinto;1976;suomi;englanti;male;3;1;3;2;0;2;2;1;0;2;1;0;2;3;1;0;2;3;3;0;3;0;1;0;3
Johan Lindberg;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1973;ruotsi;suomi, ruotsi, englanti;male;2;0;2;2;0;1;0;3;2;2;0;3;1;3;0;1;0;3;3;0;2;0;2;0;1
Hannu Maliniemi;Suomen Keskusta;Sipoo;ylempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti;male;3;1;3;3;1;0;3;2;2;2;2;1;2;1;0;1;1;2;1;1;1;1;1;1;0
Jari Malm;Perussuomalaiset;Sipoo;ammattitutkinto;1965;suomi;suomi, ruotsi, englanti;male;3;1;2;2;2;0;3;3;2;3;1;2;1;0;2;2;0;2;0;3;0;3;0;2;0
Kristian Mikander;Suomen ruotsalainen kansanpuolue;Sipoo;alempi korkeakoulututkinto;1992;ruotsi;suomi, ruotsi, englanti;male;3;1;3;2;1;3;1;3;3;3;0;3;0;3;0;2;1;1;3;0;3;0;2;0;3
Jan-Marko Niemelä;Perussuomalaiset;Sipoo;ammattitutkinto;1970;suomi;suomi, englanti;male;2;1;2;2;1;0;2;2;2;2;2;2;1;1;1;2;0;1;1;2;1;2;1;1;0
Kasper Nyberg;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1975;ruotsi;suomi, englanti;male;1;0;3;3;0;1;2;2;0;2;0;0;0;2;0;0;3;1;3;0;2;1;2;0;3
Timo Nyman;Suomen ruotsalainen kansanpuolue;Sipoo;peruskoulu;1968;suomi;suomi, ruotsi, englanti;male;2;1;2;1;1;1;1;2;2;0;2;1;1;3;0;1;1;2;2;1;2;2;1;0;1
Nico Oikari;Perussuomalaiset;Sipoo;ammattitutkinto;1994;suomi;;male;3;0;3;3;0;0;2;3;3;3;1;0;0;2;0;0;1;2;0;3;2;3;2;0;0
Ari Oksanen;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti, saksa;male;1;2;1;3;0;1;1;3;0;1;0;1;1;1;2;3;0;1;2;1;2;2;0;2;2
Hannu Ollikainen;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1975;ruotsi;suomi, ruotsi, englanti, saksa;male;0;2;3;2;0;2;0;2;1;0;0;1;2;1;2;0;1;3;2;0;2;0;0;1;2
Karri Touko Severi Ollila;Perussuomalaiset;Sipoo;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;male;0;1;2;3;1;0;3;3;1;0;2;1;0;0;1;2;0;1;0;3;0;3;1;1;0
Timo Pasanen;Suomen ruotsalainen kansanpuolue;Sipoo;ammattitutkinto;1965;suomi;suomi, ruotsi, englanti;male;3;2;3;3;1;1;2;2;2;2;0;2;2;1;1;1;1;2;3;0;2;1;2;2;2
Pekka Petäkoski;Suomen Sosialidemokraattinen Puolue;Sipoo;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti;male;2;2;3;2;1;2;1;1;2;2;1;1;1;2;1;1;1;2;2;1;2;0;2;1;3
Petri Raunio;Vihreä liitto;Sipoo;ylioppilas;1980;suomi;suomi, ruotsi, englanti;male;2;2;2;2;2;2;2;2;1;2;1;2;2;3;0;0;2;1;2;0;2;0;3;0;3
Sami Rautio;Vihreä liitto;Sipoo;ammattitutkinto;1980;suomi;suomi, ruotsi, englanti, saksa;male;2;2;2;2;1;3;0;1;0;3;0;2;0;3;1;0;2;3;2;0;2;1;2;0;3
Tuomo Repo;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;male;2;1;1;2;1;1;2;2;3;1;0;1;1;1;1;2;0;2;2;1;1;1;1;2;1
Tapio Rintamäki;Kansallinen Kokoomus;Sipoo;alempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, viro;male;2;1;2;3;2;0;3;3;2;3;0;2;2;1;1;3;0;2;1;3;0;2;1;2;0
Kimmo Roos;Perussuomalaiset;Sipoo;ammattitutkinto;1965;suomi;suomi;male;3;0;3;3;1;0;2;1;0;0;1;0;0;3;0;0;0;3;1;3;0;3;0;0;0
Asko Rouhiainen;Suomen ruotsalainen kansanpuolue;Sipoo;ammattitutkinto;1968;suomi;suomi, ruotsi, englanti;male;3;1;3;2;1;2;2;2;3;1;0;2;1;2;3;0;2;3;3;0;0;0;1;0;0
Rasmus Rutanen;Kansallinen Kokoomus;Sipoo;ylioppilas;2001;ruotsi;suomi, ruotsi, englanti, saksa;male;3;1;2;0;0;1;3;3;2;0;0;1;0;3;1;3;2;2;2;2;0;0;0;1;1
Jani Rämäkkö;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;male;3;3;3;0;3;2;2;3;3;2;1;2;2;2;2;1;2;2;2;1;2;1;1;0;2
Juha Salo;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti;male;1;1;3;2;1;1;2;3;3;1;2;1;1;2;1;2;1;1;1;1;1;1;0;1;1
Santeri Sanaksenaho;Kansallinen Kokoomus;Sipoo;peruskoulu;2006;suomi;suomi, englanti;male;2;2;2;1;1;1;2;3;3;1;0;2;2;1;1;2;1;2;2;1;1;1;1;1;2
Markku Segerstedt;Vihreä liitto;Sipoo;ammattitutkinto;1964;suomi;suomi;male;2;1;2;1;0;3;1;1;2;2;0;2;2;3;0;0;3;2;2;2;2;2;2;1;2
Ilkka Sillanpää;Perussuomalaiset;Sipoo;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;1;0;2;3;3;0;2;3;2;2;1;1;0;2;1;2;0;2;1;3;1;2;0;1;0
Antti Skogster;Kansallinen Kokoomus;Sipoo;joku muu;1970;suomi;suomi, ruotsi, englanti;male;3;1;2;1;1;1;1;3;1;1;2;1;2;2;1;1;2;2;2;1;2;1;1;1;1
Tom Sundbäck;Suomen ruotsalainen kansanpuolue;Sipoo;alempi korkeakoulututkinto;1948;suomi;suomi, ruotsi;male;1;0;3;3;0;1;3;2;1;3;3;1;0;3;0;0;2;3;3;0;2;0;0;0;0
Thomas Sundström;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1978;ruotsi;suomi, ruotsi, englanti;male;2;0;2;2;1;1;0;3;2;2;0;1;0;2;1;1;1;2;2;1;2;1;2;1;2
Kari-matti Syrjäläinen;Suomen ruotsalainen kansanpuolue;Sipoo;joku muu;1970;suomi;suomi, ruotsi;male;3;1;2;1;2;0;2;2;2;2;1;3;0;3;1;0;1;3;1;1;2;1;1;0;1
Simon Sällström;Suomen ruotsalainen kansanpuolue;Sipoo;ammattitutkinto;1988;ruotsi;suomi, ruotsi, englanti;male;3;0;3;2;1;1;1;2;2;3;1;1;0;2;2;1;1;2;3;1;1;1;3;2;1
Anders Söderling;Kansallinen Kokoomus;Sipoo;ammattitutkinto;1985;suomi;suomi, ruotsi, englanti;male;3;2;2;2;1;0;2;3;2;1;1;1;1;1;2;2;1;2;1;2;1;2;1;1;1
Mikael Therman;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1964;ruotsi;suomi, ruotsi, englanti;male;2;1;3;3;1;1;2;2;1;2;2;1;2;1;2;0;2;2;2;1;2;0;2;1;2
Jarno Tuokko;Kansallinen Kokoomus;Sipoo;alempi korkeakoulututkinto;1962;suomi;suomi, englanti;male;2;1;2;2;0;1;2;3;0;2;2;1;0;2;1;0;1;2;1;2;2;1;2;1;0
Mårten Ullberg;Liike Nyt;Sipoo;ammattitutkinto;1966;ruotsi;suomi, ruotsi, englanti;male;3;1;3;2;2;2;2;2;2;2;1;1;0;2;1;0;1;3;2;1;2;1;1;1;2
Joona Vainio;Perussuomalaiset;Sipoo;ammattitutkinto;1982;suomi;suomi, englanti;male;3;1;2;2;2;0;2;3;2;1;0;3;0;0;0;3;0;2;0;3;0;2;0;0;0
Michael Vanamo;Suomen Keskusta;Sipoo;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, ranska;male;3;1;3;3;3;1;2;3;1;2;1;1;0;0;0;1;1;3;3;0;3;0;2;0;3
Heikki Vestman;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti;male;2;1;3;3;0;0;2;3;3;0;3;3;0;3;1;2;0;1;2;3;0;2;1;2;1
Stefan Villanen;Suomen ruotsalainen kansanpuolue;Sipoo;ylempi korkeakoulututkinto;1966;ruotsi;suomi, ruotsi, englanti;male;3;1;3;2;0;2;2;2;1;2;1;1;2;3;1;0;2;2;2;0;2;0;2;1;3
Tapio Virtanen;Suomen Sosialidemokraattinen Puolue;Sipoo;ylioppilas;1978;suomi;suomi, ruotsi, englanti;male;3;1;3;2;1;1;2;2;1;2;2;1;2;3;0;2;1;2;2;0;1;0;2;2;2
Henrik Westermark;Suomen ruotsalainen kansanpuolue;Sipoo;alempi korkeakoulututkinto;1949;ruotsi;suomi, ruotsi, englanti;male;2;0;3;2;0;2;2;1;1;3;2;0;1;3;0;0;3;2;3;0;3;0;1;0;3
Jonatan Wikström;Suomen Sosialidemokraattinen Puolue;Sipoo;alempi korkeakoulututkinto;1998;ruotsi;suomi, ruotsi, englanti;male;3;2;3;1;1;2;1;1;0;3;0;2;2;2;1;2;3;3;3;0;3;0;2;1;3
Max von hellens;Kansallinen Kokoomus;Sipoo;ylempi korkeakoulututkinto;1993;suomi;suomi, englanti;male;3;0;3;3;1;3;0;3;3;3;0;3;2;2;0;3;2;2;1;1;2;0;0;0;3
Pia Ahonen;Kansallinen Kokoomus;Sotkamo;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa;female;3;3;1;3;3;2;2;2;1;2;2;1;1;3;1;1;0;2;3;1;2;1;1;2;2
Sari Alakurtti;Vihreä liitto;Sotkamo;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti, ranska, espanja;female;0;1;1;1;0;2;1;1;1;2;1;1;0;2;0;1;2;1;2;1;2;1;2;2;2
Mette Hartonen;Vihreä liitto;Sotkamo;ammattitutkinto;2001;suomi;ruotsi, englanti, venäjä;female;3;0;1;2;0;3;0;0;1;2;0;2;0;3;0;0;3;3;3;0;3;0;2;1;3
Minna Heikkinen;Kansallinen Kokoomus;Sotkamo;ylempi korkeakoulututkinto;1978;suomi;ruotsi, englanti, saksa;female;3;3;3;3;3;0;3;3;3;0;1;0;2;0;0;1;0;1;2;2;1;1;1;1;2
Mirva Heikkinen;Suomen Kristillisdemokraatit (KD);Sotkamo;alempi korkeakoulututkinto;1973;suomi;;female;3;2;1;3;2;0;2;1;1;2;2;1;0;2;1;2;1;1;2;1;3;1;1;2;2
Riikka Huotari;Kansallinen Kokoomus;Sotkamo;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;female;1;1;0;2;3;1;1;2;1;1;1;1;1;2;1;2;1;1;2;0;2;1;1;1;1
Saara Johanna Janhila;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1989;suomi;ruotsi, englanti;female;2;0;3;3;3;0;2;1;3;3;1;2;1;1;1;2;0;3;2;3;1;3;1;2;0
Eija Jansson;Kansallinen Kokoomus;Sotkamo;ylempi korkeakoulututkinto;1958;suomi;suomi, englanti;female;1;2;2;1;0;1;1;2;1;1;1;1;1;1;1;1;2;2;2;1;2;0;1;1;3
Anja Juntunen;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;2;1;2;1;1;1;2;2;2;2;1;2;0;1;1;1;1;2;1;2;2;1;1;1;1
Marita Kaipainen;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, saksa, ranska, italia;female;2;2;1;1;2;1;2;1;2;2;1;1;1;2;1;1;1;2;2;1;2;1;1;1;2
Liinu Kauppinen;Suomen Keskusta;Sotkamo;ammattitutkinto;1993;suomi;suomi, englanti;female;2;1;2;3;3;1;1;1;2;2;2;1;1;2;1;2;1;2;2;1;1;1;1;2;2
Susanna Kinnula;Suomen Sosialidemokraattinen Puolue;Sotkamo;ylempi korkeakoulututkinto;1974;suomi;suomi, englanti;female;3;1;1;2;2;1;2;2;1;2;1;2;1;3;0;0;1;2;2;1;2;2;2;1;3
Hanna Kinnunen;Suomen Keskusta;Sotkamo;alempi korkeakoulututkinto;1987;suomi;suomi, englanti;female;2;2;2;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;1;2;2
Marja-leena Korhonen;Suomen Keskusta;Sotkamo;ammattitutkinto;1955;suomi;suomi, ruotsi, englanti, venäjä;female;3;1;1;3;3;0;2;2;2;2;1;0;0;3;0;1;3;3;3;0;3;0;2;0;1
Marjatta Korhonen;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1953;suomi;suomi, englanti, viittomakieli;female;1;0;2;3;2;0;2;0;1;2;2;0;1;3;1;2;0;0;3;0;2;1;0;1;2
Heidi Kotilainen;Suomen Kristillisdemokraatit (KD);Sotkamo;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;3;1;2;3;3;0;1;1;0;1;2;1;1;2;0;1;1;1;3;1;2;1;1;2;2
Elina Lehtimäki;Vasemmistoliitto;Sotkamo;ammattitutkinto;1994;suomi;suomi, englanti;female;3;2;3;3;1;1;0;2;2;2;2;3;0;1;1;1;1;0;1;1;2;1;1;1;3
Anne Lukkari;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa;female;2;1;0;1;3;1;2;1;1;1;0;1;0;1;1;1;2;1;2;2;2;1;0;2;1
Tarja Lukkari;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti;female;2;1;1;2;1;1;2;2;1;2;1;1;0;1;1;1;1;2;2;1;2;1;1;2;1
Aliisa Lukkari-syrjäniemi;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;1;1;2;3;1;3;1;2;2;1;1;0;2;1;1;1;2;2;0;2;1;1;2;1
Kirsi Moisanen;Suomen Keskusta;Sotkamo;ylempi korkeakoulututkinto;1973;suomi;ruotsi, englanti;female;3;1;2;2;3;0;3;2;1;1;0;2;0;2;1;2;2;3;2;1;1;1;1;3;1
Nina Määttä;Perussuomalaiset;Sotkamo;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;3;2;0;3;1;0;3;1;1;2;1;0;0;1;1;1;0;2;1;3;1;1;0;2;0
Piia Määttä;Suomen Keskusta;Sotkamo;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;2;1;1;2;3;1;2;1;1;2;0;0;1;2;1;2;2;2;3;2;2;0;1;2;1
Tuulia Nikula;Suomen Keskusta;Sotkamo;alempi korkeakoulututkinto;1984;suomi;suomi;female;2;1;1;2;2;1;3;1;2;2;0;1;2;2;1;1;2;1;2;1;2;1;1;1;1
Outi Penttinen;Kansallinen Kokoomus;Sotkamo;alempi korkeakoulututkinto;1975;suomi;suomi, englanti;female;1;2;0;2;0;1;2;2;2;2;2;2;1;1;2;2;0;1;1;2;1;3;1;2;2
Nina Repo;Kansallinen Kokoomus;Sotkamo;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;female;3;1;2;2;3;2;1;2;1;1;0;1;1;3;2;0;2;2;2;1;3;1;1;2;2
Kaisu Rimpiläinen;Suomen Keskusta;Sotkamo;alempi korkeakoulututkinto;1964;suomi;suomi, ruotsi, englanti, saksa;female;1;2;2;2;3;1;2;2;1;2;1;0;0;1;1;0;1;3;3;0;2;1;1;2;3
Minna Rossi;Kansallinen Kokoomus;Sotkamo;ammattitutkinto;1980;suomi;;female;3;2;0;2;3;0;2;2;1;2;1;3;1;2;1;2;1;2;1;2;1;2;1;3;0
Soile Sirviö;Kansallinen Kokoomus;Sotkamo;alempi korkeakoulututkinto;1979;suomi;suomi, englanti;female;2;2;1;1;1;1;3;2;2;2;1;1;0;1;1;1;1;2;2;1;1;1;1;1;1
Elisa Tolonen;Suomen Keskusta;Sotkamo;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti, saksa;female;3;0;1;3;3;1;2;1;2;1;0;0;0;1;1;1;1;3;3;0;2;1;0;0;2
Timo Aho;Kansallinen Kokoomus;Sotkamo;joku muu;1966;suomi;suomi, ruotsi, englanti;male;2;2;2;1;1;0;2;2;2;1;0;1;2;3;0;2;1;1;2;2;2;1;1;0;0
Pertti Granqvist;Vasemmistoliitto;Sotkamo;ammattitutkinto;1959;suomi;suomi;male;2;2;1;2;1;1;2;2;1;2;1;0;2;2;1;2;0;0;2;2;1;0;1;1;0
