Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Petteri Pavas,Vas.,Nurmijärvi,ylempi korkeakoulututkinto,1960,suomi,male,2,0,3,1,0,2,1,1,0,3,2,3,3,2,0,0,2,3,3,0,3,0,2,0,3
Pepe Perkiö,Kok.,Nurmijärvi,alempi korkeakoulututkinto,1974,suomi,male,3,2,3,3,1,1,1,3,1,1,1,0,0,3,1,0,1,2,2,0,2,1,1,2,0
Kimmo Pirkkala,PS,Nurmijärvi,ylempi korkeakoulututkinto,1972,suomi,male,2,1,0,2,1,0,2,3,3,1,0,2,1,1,1,2,1,1,1,3,0,3,0,2,0
Petri Polkko,Kok.,Nurmijärvi,peruskoulu,1976,suomi,male,2,2,1,3,2,0,0,0,2,2,2,3,0,2,1,2,0,3,0,3,1,2,1,2,0
Keijo Pouttu,Vas.,Nurmijärvi,ammattitutkinto,1966,suomi,male,2,1,3,2,1,1,2,2,1,3,1,0,1,3,0,1,2,3,2,1,2,1,2,0,2
Petri Pyöriä,Lib.,Nurmijärvi,ylempi korkeakoulututkinto,1972,suomi,male,2,2,1,0,0,1,0,3,3,0,0,2,0,3,1,0,1,1,2,1,0,2,0,2,1
Esa Rahunen,SDP,Nurmijärvi,joku muu,1957,suomi,male,2,1,2,2,1,1,1,1,0,3,1,1,1,3,1,1,1,2,3,0,2,0,2,0,2
Kalle Rantakulma,Kesk.,Nurmijärvi,ylempi korkeakoulututkinto,1991,suomi,male,1,0,3,2,1,1,2,3,2,3,1,1,0,1,1,2,0,2,2,1,2,2,1,1,1
Olli Rantamäki,Vihr.,Nurmijärvi,ylempi korkeakoulututkinto,1955,suomi,male,3,0,3,2,2,3,1,1,0,1,1,1,2,3,1,1,2,3,2,0,3,0,2,0,3
Petri Rantanen,PS,Nurmijärvi,ylioppilas,1985,suomi,male,2,1,1,3,1,0,2,3,3,2,1,2,1,1,1,2,0,1,0,2,0,2,0,3,0
Eero Santala,SDP,Nurmijärvi,joku muu,1977,suomi,male,3,1,2,1,0,2,2,1,0,2,1,2,1,2,1,1,2,2,2,1,1,0,2,1,2
Cisse Schalin,PS,Nurmijärvi,joku muu,1978,suomi,male,3,0,1,2,1,0,0,3,2,3,1,2,0,1,3,3,0,2,0,3,1,3,0,1,0
Niko Seppälä,PS,Nurmijärvi,ammattitutkinto,1982,suomi,male,3,2,1,2,2,1,2,2,3,3,1,2,1,2,1,2,0,3,2,1,0,2,1,2,0
Mika Sipura,Vihr.,Nurmijärvi,ylempi korkeakoulututkinto,1971,suomi,male,2,1,2,2,2,2,2,2,1,2,0,0,1,3,0,0,2,3,2,0,2,0,3,0,3
Markus Soronen,Kesk.,Nurmijärvi,alempi korkeakoulututkinto,1989,suomi,male,2,1,1,3,1,0,3,2,2,2,1,1,1,1,1,1,0,2,1,1,1,2,1,0,0
Otto Suhonen,Kesk.,Nurmijärvi,ylioppilas,2002,suomi,male,3,0,2,3,1,1,2,2,2,1,0,1,1,3,0,1,2,2,2,1,2,1,1,1,2
Johan Sundholm,RKP,Nurmijärvi,ammattitutkinto,1985,ruotsi,male,3,0,3,2,2,1,3,1,3,3,0,0,0,1,1,2,1,3,3,0,2,0,1,0,3
Kari Suomela,Kok.,Nurmijärvi,alempi korkeakoulututkinto,1974,suomi,male,3,2,2,1,1,0,2,2,2,2,0,2,2,2,1,2,1,2,2,1,1,1,1,1,0
Joona Suomi,Kok.,Nurmijärvi,ylempi korkeakoulututkinto,1979,suomi,male,2,0,2,2,0,0,1,3,3,0,0,2,0,1,1,1,0,2,2,1,1,2,0,2,2
Osmo Suominen,SDP,Nurmijärvi,ammattitutkinto,1962,suomi,male,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,0
Janne Taipale,Kok.,Nurmijärvi,ylempi korkeakoulututkinto,1967,suomi,male,2,2,1,2,1,0,3,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,0,0
Visa Tarikka,Kok.,Nurmijärvi,alempi korkeakoulututkinto,1980,suomi,male,2,2,2,3,0,0,2,1,3,0,1,0,3,1,1,2,2,1,2,1,2,1,1,0,2
Antti Tuominen,PS,Nurmijärvi,ammattitutkinto,1988,suomi,male,3,1,0,3,1,0,2,2,2,1,0,3,1,2,1,2,0,2,2,3,2,0,0,2,0
Sami Vaihia,Kesk.,Nurmijärvi,ammattitutkinto,1991,suomi,male,3,0,2,2,0,1,2,2,1,3,0,0,1,2,2,1,1,1,2,2,1,1,1,1,2
Jari Vainio,Kok.,Nurmijärvi,ylioppilas,1963,suomi,male,2,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1
Matti Vanhanen,Kesk.,Nurmijärvi,ylempi korkeakoulututkinto,1955,suomi,male,2,0,2,3,1,1,2,1,3,1,0,0,0,2,1,0,1,3,2,0,2,1,2,1,1
Ville Virolainen,Vihr.,Nurmijärvi,ylempi korkeakoulututkinto,1973,suomi,male,2,2,2,1,1,2,1,2,2,2,1,2,1,3,1,1,2,3,2,0,2,1,1,1,2
Sami Virtanen,Vihr.,Nurmijärvi,alempi korkeakoulututkinto,1976,suomi,male,3,0,3,3,1,2,1,2,2,2,0,1,0,3,0,0,3,3,3,0,3,0,2,0,3
juhani Vuorisalo,Kok.,Nurmijärvi,ylempi korkeakoulututkinto,1960,suomi,male,2,2,1,2,1,1,3,2,1,3,0,2,1,2,1,0,1,2,1,2,1,1,0,1,0
Jarmo Wilkman,Kok.,Nurmijärvi,alempi korkeakoulututkinto,1964,suomi,male,3,1,2,2,1,0,3,2,3,2,3,0,1,2,1,2,0,3,2,2,1,1,1,0,2
Ville Åberg,Kesk.,Nurmijärvi,ylioppilas,1983,suomi,male,2,0,2,3,1,0,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1
Viivi Karjalainen,SDP,Nurmijärvi,ammattitutkinto,2005,suomi,,3,1,3,1,1,2,0,1,1,2,0,0,1,3,1,1,2,3,3,0,3,0,2,1,3
Alina Bondarenko,RKP,Närpiö,ylempi korkeakoulututkinto,1990,jokin muu,female,1,1,2,3,0,1,1,1,1,3,2,2,1,1,1,2,2,0,2,1,3,1,1,3,0
Johanna Borg,RKP,Närpiö,ylempi korkeakoulututkinto,1990,ruotsi,female,2,1,3,1,2,0,2,2,1,2,1,1,1,0,1,1,0,2,3,0,3,0,2,1,3
Michaela Bäckstrand,RKP,Närpiö,ylempi korkeakoulututkinto,1984,ruotsi,female,2,1,3,1,1,0,0,2,1,1,1,1,1,2,1,1,1,2,2,1,1,0,1,2,2
Hanna Donaldson,KD,Närpiö,ammattitutkinto,1989,ruotsi,female,2,1,3,3,3,0,3,3,2,3,0,1,0,0,1,1,0,3,3,1,2,0,3,3,0
Marja Mökö Forsén,RKP,Närpiö,joku muu,1972,suomi,female,3,1,3,1,1,1,1,2,2,2,2,1,1,3,1,1,1,1,3,0,3,0,1,1,3
Jasmine Langels,RKP,Närpiö,ylempi korkeakoulututkinto,1993,ruotsi,female,3,3,3,3,0,0,2,1,0,1,0,3,0,0,0,3,0,1,3,0,3,1,1,0,3
Rosita Langels,RKP,Närpiö,joku muu,1961,ruotsi,female,2,2,3,1,1,0,3,1,3,1,0,1,1,0,2,2,1,3,3,0,1,0,0,0,3
Marianne Nyqvist-Mannsén,RKP,Närpiö,ylempi korkeakoulututkinto,1953,ruotsi,female,3,2,3,2,1,1,2,2,3,2,0,0,1,1,2,1,1,2,3,0,3,0,1,2,3
Linda Pellfolk,RKP,Närpiö,ylempi korkeakoulututkinto,1988,ruotsi,female,3,1,3,1,1,0,1,2,1,2,1,1,1,0,1,2,1,2,3,0,3,0,2,2,3
Emilia Rönngård,SDP,Närpiö,alempi korkeakoulututkinto,1998,ruotsi,female,3,2,3,3,0,2,0,2,3,2,1,0,0,2,1,0,2,3,3,1,3,0,2,2,3
Madeleine Rönnqvist,RKP,Närpiö,ammattitutkinto,1996,ruotsi,female,2,1,2,3,2,0,1,3,2,3,2,1,0,2,1,3,1,3,2,2,2,1,2,2,1
Nicole Sten,RKP,Närpiö,ylioppilas,2002,ruotsi,female,1,0,2,2,2,0,2,2,2,3,2,1,0,2,1,1,2,2,3,0,3,0,1,1,3
Linnea Strand,RKP,Närpiö,ylempi korkeakoulututkinto,1995,ruotsi,female,3,1,3,1,0,2,2,2,2,2,0,3,1,2,1,1,3,0,3,0,3,0,2,2,3
Victoria Vikstrand,RKP,Närpiö,alempi korkeakoulututkinto,1992,ruotsi,female,2,0,3,2,2,1,1,1,1,2,1,1,0,1,1,1,1,2,3,0,3,0,2,2,3
Erica Wickman,RKP,Närpiö,ammattitutkinto,1989,ruotsi,female,2,1,3,1,0,0,2,2,2,3,2,0,0,3,1,2,0,2,3,0,3,0,2,0,3
Susanna Åbacka,RKP,Närpiö,alempi korkeakoulututkinto,1977,ruotsi,female,2,1,3,2,2,0,3,1,1,2,2,0,1,1,1,1,1,3,3,0,3,0,1,3,1
Maria Österberg,RKP,Närpiö,ammattitutkinto,1998,ruotsi,female,3,2,3,3,1,1,2,2,3,3,2,0,1,3,1,2,2,3,3,0,2,1,2,1,3
Kenneth Högback,RKP,Närpiö,ammattitutkinto,1984,ruotsi,male,2,0,3,2,3,0,2,1,2,2,0,1,2,0,1,2,0,3,3,0,3,0,1,3,3
Sven Jerkku,RKP,Närpiö,joku muu,1974,ruotsi,male,2,2,3,2,2,0,2,3,3,3,0,2,1,1,3,1,2,2,3,0,3,0,2,3,3
Mats-johan Kaars,SDP,Närpiö,ammattitutkinto,1976,ruotsi,male,3,2,3,2,3,0,2,2,1,1,0,1,0,1,1,0,1,2,3,2,2,0,2,1,3
Roger Kronlund,SDP,Närpiö,peruskoulu,1956,ruotsi,male,2,0,3,2,3,1,1,3,2,2,1,2,1,2,1,2,2,2,2,1,2,0,2,1,2
Anders Norrback,RKP,Närpiö,ylempi korkeakoulututkinto,1963,ruotsi,male,2,2,3,1,1,0,3,2,0,1,0,1,2,1,2,1,0,2,3,0,3,0,1,1,3
Daniel Norrback,RKP,Närpiö,alempi korkeakoulututkinto,1980,ruotsi,male,3,2,2,1,0,0,3,2,3,1,0,1,1,1,1,2,1,2,3,0,2,0,2,2,3
Tommy Perjus,RKP,Närpiö,ammattitutkinto,1994,ruotsi,male,1,2,3,1,2,0,3,1,0,2,1,1,2,0,2,2,0,3,3,0,3,0,1,2,3
Rasmus Sigg,Kok.,Närpiö,ammattitutkinto,1980,ruotsi,male,3,0,3,2,0,0,3,3,3,0,0,0,2,0,0,0,0,3,3,1,1,1,0,0,2
Peter Sjökvist,SDP,Närpiö,joku muu,1971,ruotsi,male,3,0,3,3,3,0,2,3,3,2,1,0,2,2,2,1,2,2,3,0,3,0,1,0,3
Roberth Sjöström,RKP,Närpiö,ylempi korkeakoulututkinto,1992,ruotsi,male,2,1,2,1,2,0,2,2,2,1,2,0,0,1,1,1,1,2,3,1,3,0,2,2,2
Johan Sten,RKP,Närpiö,joku muu,1977,ruotsi,male,2,0,3,2,2,0,2,2,2,2,1,0,2,0,1,2,1,1,2,1,2,1,0,2,2
Sebastian Strandberg,RKP,Närpiö,alempi korkeakoulututkinto,1981,ruotsi,male,3,2,3,1,0,0,2,1,3,2,2,1,1,2,1,1,2,1,3,2,2,1,1,2,3
Karl-Gustav Svedjebäck,RKP,Närpiö,ylioppilas,1964,ruotsi,male,3,2,3,2,2,0,3,1,2,3,0,0,0,0,0,0,2,3,3,1,1,1,1,0,1
Magnus Vikstrand,RKP,Närpiö,ammattitutkinto,1980,ruotsi,male,2,2,2,2,2,0,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2
Anton Åkerman,RKP,Närpiö,ylioppilas,2005,ruotsi,male,2,1,3,1,1,0,2,3,3,2,0,1,0,1,2,2,2,0,3,2,2,0,2,2,3
Venla Avelin,Vihr.,Orimattila,alempi korkeakoulututkinto,1983,suomi,female,3,0,1,2,1,2,0,1,2,2,3,0,2,3,1,0,2,2,2,0,2,1,2,2,3
Sari Eiranen,Kok.,Orimattila,alempi korkeakoulututkinto,1976,suomi,female,3,2,3,3,1,1,3,2,2,2,1,0,3,1,1,2,2,1,2,2,2,0,1,0,2
Johanna Ekman,PS,Orimattila,ylioppilas,1986,suomi,female,2,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1
Laura Jokela,PS,Orimattila,ammattitutkinto,1991,suomi,female,2,0,0,3,2,0,3,3,3,1,1,2,0,1,1,3,0,1,0,3,0,2,0,2,0
Amanda Kallio,Vihr.,Orimattila,ylempi korkeakoulututkinto,1997,suomi,female,3,1,1,3,2,2,1,1,2,1,0,1,0,3,1,1,2,2,2,0,2,0,2,1,3
Laura Latikka,Kok.,Orimattila,ylempi korkeakoulututkinto,1982,suomi,female,2,2,2,1,1,2,3,2,3,2,2,0,1,1,0,2,2,1,2,2,1,1,2,2,1
Tarja Lattu,Kok.,Orimattila,alempi korkeakoulututkinto,1968,suomi,female,2,2,0,2,2,0,2,2,1,3,1,0,0,0,0,0,1,3,2,0,3,1,0,1,0
Krista Liljeqvist,PS,Orimattila,alempi korkeakoulututkinto,1993,suomi,female,3,1,1,1,0,0,3,1,2,2,0,2,0,2,0,3,0,0,0,3,1,3,0,1,0
Riitta Lonka,Kesk.,Orimattila,ammattitutkinto,1960,suomi,female,2,2,2,2,2,0,2,2,1,1,0,1,2,1,1,1,2,2,2,2,1,1,1,2,0
Marja-liisa Neuvonen-rauhala,Kok.,Orimattila,ylempi korkeakoulututkinto,1958,suomi,female,3,2,2,1,0,2,1,3,1,3,0,1,2,3,1,1,2,2,2,1,1,1,1,2,1
Jenni Päivähonka,Kok.,Orimattila,ylempi korkeakoulututkinto,1975,suomi,female,3,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,3,2,1,2,1,1,2,1
Satu Raitanen,Kok.,Orimattila,ylempi korkeakoulututkinto,1983,suomi,female,3,2,2,2,2,1,0,3,2,2,1,1,0,1,2,0,1,3,3,0,2,0,1,0,2
Ulpu Riikonen,Vas.,Orimattila,ylempi korkeakoulututkinto,1983,suomi,female,3,1,1,0,1,2,1,0,1,2,0,0,1,3,0,1,2,3,3,0,2,0,1,1,3
Salla Ritala,Kesk.,Orimattila,ylempi korkeakoulututkinto,1992,suomi,female,2,2,2,2,0,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2
Niina Saarinen,SDP,Orimattila,alempi korkeakoulututkinto,1973,suomi,female,2,2,1,2,2,1,1,2,2,2,0,1,3,1,2,3,1,2,1,0,2,1,1,2,0
Pauliina Siikala,Vihr.,Orimattila,ammattitutkinto,1972,suomi,female,3,1,2,1,1,2,1,1,2,2,1,1,1,3,1,1,2,2,2,1,2,1,1,1,2
Arja Simola,PS,Orimattila,ylioppilas,1981,suomi,female,3,0,0,3,1,0,3,0,2,2,0,1,3,3,1,0,2,3,1,1,1,1,1,2,1
Piia Tuomainen,Vihr.,Orimattila,alempi korkeakoulututkinto,1974,suomi,female,3,1,0,1,0,3,2,0,2,2,1,0,0,3,0,0,2,2,2,1,1,1,2,0,0
Sini-johanna Vilja,SDP,Orimattila,ylioppilas,1979,suomi,female,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2
Juha Aalto,Kok.,Orimattila,ylempi korkeakoulututkinto,1956,suomi,male,2,1,0,2,1,1,2,2,3,0,1,2,2,1,1,1,0,1,2,1,2,1,0,1,1
Ari Anttila,Kesk.,Orimattila,ammattitutkinto,1959,suomi,male,3,1,3,3,2,0,2,3,3,2,0,2,2,0,2,2,1,2,2,1,2,1,2,2,1
Ville-petteri Erola,PS,Orimattila,ammattitutkinto,1974,suomi,male,2,2,1,2,1,0,3,2,1,1,1,1,2,2,2,2,1,2,1,2,1,3,0,2,0
Jarno Eskelinen,Kok.,Orimattila,ylempi korkeakoulututkinto,1976,suomi,male,3,1,1,2,0,1,3,2,1,1,1,1,2,1,1,1,1,2,2,0,2,1,2,1,3
Joni Frisk,PS,Orimattila,ammattitutkinto,1990,suomi,male,3,0,0,2,2,0,2,3,3,3,0,2,0,0,1,3,0,2,1,3,0,2,0,2,0
Torsti Hokkanen,SDP,Orimattila,ylempi korkeakoulututkinto,1971,suomi,male,3,1,0,2,2,1,1,1,3,2,0,0,3,3,2,1,1,2,2,0,2,0,1,1,2
Jari Hosiaisluoma,PS,Orimattila,joku muu,1972,suomi,male,2,2,0,1,1,0,2,1,1,2,1,0,2,2,2,2,0,2,1,2,1,2,0,1,0
Juha Hämäläinen,Kesk.,Orimattila,alempi korkeakoulututkinto,1981,suomi,male,3,1,1,2,2,0,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,1
Joni Jaatinen,Sit,Orimattila,ammattitutkinto,1992,suomi,male,2,0,0,1,1,0,1,2,1,2,0,0,0,1,1,2,0,3,2,2,1,3,1,1,0
Juho-pekka Jokitalo,Kesk.,Orimattila,alempi korkeakoulututkinto,1991,suomi,male,3,1,0,1,1,0,3,2,3,1,0,1,0,0,2,2,0,0,2,1,1,1,0,2,0
Tuomo Jussila,Kok.,Orimattila,ammattitutkinto,1962,suomi,male,2,2,2,2,3,2,1,2,1,2,1,0,2,3,0,0,1,3,2,0,1,1,1,0,3
Kari Jäske,Kok.,Orimattila,alempi korkeakoulututkinto,1957,suomi,male,3,2,1,1,3,0,3,3,1,2,0,0,0,2,1,2,0,3,2,0,2,0,0,2,0
Jari Kaitaranta,PS,Orimattila,ammattitutkinto,1980,suomi,male,3,1,0,3,0,0,3,3,1,0,0,0,2,3,0,2,0,3,1,3,0,2,1,0,0
Benjamin Karelberg,SDP,Orimattila,ammattitutkinto,1964,suomi,male,3,2,2,1,0,2,0,2,0,2,0,3,3,3,1,2,2,0,2,1,2,1,3,3,0
Tommi Kiiveri,Kesk.,Orimattila,ammattitutkinto,1970,suomi,male,3,1,1,3,2,1,3,2,1,2,1,0,0,3,1,0,1,2,2,1,1,1,2,0,0
Aleksi Konttinen,Vas.,Orimattila,ammattitutkinto,1973,suomi,male,2,1,2,2,1,2,0,1,1,2,0,1,0,3,0,0,2,3,3,0,3,0,2,1,3
Juho Lehtinen,Vihr.,Orimattila,ammattitutkinto,1989,suomi,male,2,1,2,2,1,1,1,2,2,2,1,0,1,3,1,1,2,2,2,1,2,1,2,1,2
Vesa Leino,Kok.,Orimattila,ammattitutkinto,1967,suomi,male,2,2,1,1,1,0,2,2,2,0,1,2,3,2,2,2,1,2,1,2,1,2,1,2,0
Markus Liljedahl,Kesk.,Orimattila,ammattitutkinto,1985,suomi,male,3,2,2,1,0,2,2,2,1,3,0,1,1,2,2,1,0,2,2,2,1,1,0,0,1
Jani Malinen,SDP,Orimattila,ammattitutkinto,1974,suomi,male,3,1,1,3,2,0,2,3,1,3,2,1,1,2,2,3,2,3,2,0,2,1,1,2,2
Petri Marjamäki,Kok.,Orimattila,ammattitutkinto,1966,suomi,male,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2
Jani Markkanen,Kok.,Orimattila,joku muu,1987,suomi,male,3,2,2,1,1,0,1,2,2,2,1,1,0,1,2,2,0,2,1,1,1,2,1,2,1
Joonas Mustonen,Vas.,Orimattila,ylempi korkeakoulututkinto,1995,suomi,male,3,0,2,2,3,2,2,0,0,2,0,0,0,3,0,1,2,3,2,0,2,1,2,0,2
Jukka Mölsä,Kesk.,Orimattila,alempi korkeakoulututkinto,1979,suomi,male,2,2,2,3,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1
Olli Nieminen,Kok.,Orimattila,ammattitutkinto,1985,suomi,male,2,3,1,2,0,0,3,3,3,0,1,3,2,0,3,3,0,1,2,2,0,1,0,3,0
Tero Nieminen,Kesk.,Orimattila,ylioppilas,1983,suomi,male,3,3,0,3,2,0,2,3,3,0,0,0,3,1,1,2,1,1,2,1,0,1,0,2,0
Harri Ovaska,PS,Orimattila,ylioppilas,1958,suomi,male,1,1,0,2,1,0,2,2,2,3,1,2,2,2,1,2,0,2,0,3,0,3,0,1,0
Kimmo Rauhala,Kok.,Orimattila,ylempi korkeakoulututkinto,1979,suomi,male,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,0,1,1,1,1,0,1,1,2
Heikki Rautala,Kok.,Orimattila,ylioppilas,1986,suomi,male,1,1,0,0,0,0,3,3,3,1,0,1,0,0,2,3,0,2,2,1,1,1,0,2,0
Tero Rönkkö,PS,Orimattila,ammattitutkinto,1968,suomi,male,3,1,1,2,1,0,2,3,3,0,0,2,2,2,2,2,1,2,1,3,0,2,0,2,0
Ville Saarinen,Kesk.,Orimattila,alempi korkeakoulututkinto,1986,suomi,male,2,1,0,1,1,1,2,1,1,2,0,1,1,2,2,2,1,1,2,1,2,1,1,0,1
Valtteri Sallinen,Kok.,Orimattila,alempi korkeakoulututkinto,1996,suomi,male,2,2,1,3,0,1,2,2,1,2,2,2,3,1,2,1,1,2,2,2,1,2,1,2,0
Saku Salminen,Vihr.,Orimattila,ylempi korkeakoulututkinto,1991,suomi,male,2,1,1,2,2,1,1,3,3,2,0,2,0,3,0,1,1,1,3,1,1,1,1,1,1
Tarmo Taavila,Vas.,Orimattila,ammattitutkinto,1953,suomi,male,3,0,2,2,0,1,0,0,0,2,0,0,1,3,0,0,3,2,3,0,3,0,3,0,3
Antti Tuomala,Kok.,Orimattila,alempi korkeakoulututkinto,1971,suomi,male,3,1,1,2,2,0,2,2,3,2,1,2,1,1,1,1,0,1,2,1,1,2,0,2,1
Juho Tupasela,Vihr.,Orimattila,alempi korkeakoulututkinto,1987,suomi,male,3,1,2,2,1,3,1,1,1,2,0,1,1,3,0,0,3,3,3,0,2,1,2,1,3
Pekka Törrönen,Kok.,Orimattila,ylempi korkeakoulututkinto,1966,suomi,male,2,2,1,2,1,0,2,2,2,1,1,0,1,1,2,2,1,2,2,2,1,1,1,1,0
Paavo Uusitalo,Kesk.,Orimattila,alempi korkeakoulututkinto,1989,suomi,male,3,1,0,2,0,0,1,3,2,1,0,0,2,2,1,2,1,2,2,1,2,0,0,2,1
Joni Vanhatalo,PS,Orimattila,ammattitutkinto,1998,suomi,male,2,0,1,3,2,0,2,2,1,3,0,2,1,3,0,1,0,3,2,2,1,1,0,3,2
Tuuri Ketovirta,Sit,Orimattila,ammattitutkinto,1993,suomi,other,3,1,3,2,2,1,0,1,1,3,0,0,0,2,1,1,2,3,2,1,2,1,2,1,2
Satu Mikkola,PS,Oripää,ammattitutkinto,1976,suomi,female,2,1,2,2,3,0,3,3,2,2,1,0,1,2,1,3,1,3,2,2,1,2,2,0,0
Maarit Salama,SDP,Oripää,ammattitutkinto,1981,suomi,female,2,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,0,2,2,1,2,1,1,2,1
Matti Kulmanen,Sit,Oripää,ylempi korkeakoulututkinto,1981,suomi,male,2,1,1,3,2,0,3,2,1,0,1,3,2,3,0,2,1,0,2,2,0,2,0,3,0
Ville Laine,VL,Oripää,ammattitutkinto,1977,suomi,male,2,0,1,1,1,0,3,3,2,1,0,1,1,2,1,1,0,1,2,2,1,2,0,0,0
Pertti Liinoja,Vas.,Oripää,ammattitutkinto,1953,suomi,male,3,0,1,1,1,2,1,1,0,3,1,0,3,3,0,0,3,3,2,0,3,0,2,0,2
Janne Paju,Kesk.,Oripää,alempi korkeakoulututkinto,1980,suomi,male,1,1,0,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2
Annamari Aitolahti,Kesk.,Orivesi,ylempi korkeakoulututkinto,1970,suomi,female,2,1,2,2,2,1,3,1,2,3,0,1,2,1,1,3,1,1,1,1,1,2,1,1,1
Kea Cook,Vihr.,Orivesi,alempi korkeakoulututkinto,1988,suomi,female,3,0,2,1,0,3,0,1,1,3,0,0,0,3,0,0,3,3,3,0,3,0,2,0,3
Heidi Jakara,SDP,Orivesi,ylempi korkeakoulututkinto,1971,suomi,female,2,2,1,0,0,1,2,2,3,2,0,1,2,1,2,1,1,1,2,1,1,1,1,2,2
Jaana Jämsén,Vas.,Orivesi,alempi korkeakoulututkinto,1969,suomi,female,3,1,3,2,2,3,2,1,1,3,1,0,2,3,0,0,3,3,3,0,3,0,3,1,3
Jasmin Jämsén,Kok.,Orivesi,alempi korkeakoulututkinto,1997,suomi,female,3,0,1,2,2,0,2,3,1,1,2,0,0,1,2,3,1,3,3,1,2,1,2,1,1
Anne Kahelin,Vas.,Orivesi,alempi korkeakoulututkinto,1956,suomi,female,3,0,2,2,1,1,0,0,0,2,2,0,3,3,0,0,3,3,3,0,2,0,2,0,3
Sini Kahilaniemi,Kok.,Orivesi,ylempi korkeakoulututkinto,1987,suomi,female,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,0,1,1,1,1,2,1,1,1
Elina Koppanen,Kesk.,Orivesi,ammattitutkinto,1962,suomi,female,2,0,3,3,3,0,3,2,2,3,3,3,0,2,0,2,1,1,1,1,2,2,1,2,0
Kirsi-minna Koskela,Vihr.,Orivesi,alempi korkeakoulututkinto,1966,suomi,female,3,2,1,1,0,2,2,3,1,3,1,1,1,3,1,0,2,1,2,0,2,0,1,1,3
Merja Käpyaho,PS,Orivesi,ammattitutkinto,1983,suomi,female,3,2,1,2,1,0,3,3,3,3,1,3,0,2,2,2,1,2,1,3,0,3,0,2,0
Eija Laaksonen,Vihr.,Orivesi,ammattitutkinto,1958,suomi,female,3,1,2,1,3,1,1,2,2,2,0,1,2,3,1,2,2,1,3,1,1,0,2,1,2
Sari Laurell,SDP,Orivesi,alempi korkeakoulututkinto,1965,suomi,female,2,0,2,2,2,1,0,2,1,2,1,0,2,3,0,0,1,1,2,0,2,0,1,0,3
Mari Lind,Vas.,Orivesi,ammattitutkinto,1970,suomi,female,3,0,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,3,0,2,0,1,0,3
Outi Mikkonen,Kesk.,Orivesi,ylioppilas,1976,suomi,female,3,1,2,2,1,0,3,2,1,1,1,1,1,2,1,2,1,2,2,0,2,1,1,1,1
Aino Mäkelä,SDP,Orivesi,alempi korkeakoulututkinto,2001,suomi,female,3,2,2,1,1,2,0,1,1,2,1,0,2,3,1,0,3,3,3,0,3,0,1,1,3
Kirsi Mäkinen,KD,Orivesi,ylempi korkeakoulututkinto,1980,suomi,female,3,1,1,2,2,2,3,2,2,2,2,1,1,2,1,0,3,2,3,0,2,0,0,1,1
Marjo Mäkinen-aakula,Kesk.,Orivesi,ylempi korkeakoulututkinto,1964,suomi,female,2,0,0,2,2,1,3,1,2,2,2,1,0,1,2,2,2,2,2,1,1,1,1,2,3
